bps_model_index,bps_model,param1_flag,param1_value,param2_flag,param2_value,sfr_mzr_model,rate_Gpc3yr
25,qcrit(3),qcrit,3,,,PP04,398.0
25,qcrit(3),qcrit,3,,,T04,191.0
26,MLedd(1),MLedd,1,,,KK04_Ma16,99.0
26,MLedd(1),MLedd,1,,,PP04_Ma16,312.0
26,MLedd(1),MLedd,1,,,M09,205.0
26,MLedd(1),MLedd,1,,,KK04,130.0
26,MLedd(1),MLedd,1,,,PP04,379.0
26,MLedd(1),MLedd,1,,,T04,181.0
27,beta(0.125),beta,0.125,,,KK04_Ma16,102.0
27,beta(0.125),beta,0.125,,,PP04_Ma16,291.0
27,beta(0.125),beta,0.125,,,M09,185.0
27,beta(0.125),beta,0.125,,,KK04,130.0
27,beta(0.125),beta,0.125,,,PP04,417.0
27,beta(0.125),beta,0.125,,,T04,188.0
28,beta(7.0),beta,7.0,,,KK04_Ma16,102.0
28,beta(7.0),beta,7.0,,,PP04_Ma16,286.0
28,beta(7.0),beta,7.0,,,M09,173.0
28,beta(7.0),beta,7.0,,,KK04,139.0
28,beta(7.0),beta,7.0,,,PP04,356.0
28,beta(7.0),beta,7.0,,,T04,198.0
29,vKick(-3),vKick,-3,,,KK04_Ma16,92.2
29,vKick(-3),vKick,-3,,,PP04_Ma16,234.0
29,vKick(-3),vKick,-3,,,M09,143.0
29,vKick(-3),vKick,-3,,,KK04,119.0
29,vKick(-3),vKick,-3,,,PP04,307.0
29,vKick(-3),vKick,-3,,,T04,162.0
30,vKick(-2),vKick,-2,,,KK04_Ma16,96.7
30,vKick(-2),vKick,-2,,,PP04_Ma16,267.0
30,vKick(-2),vKick,-2,,,M09,172.0
30,vKick(-2),vKick,-2,,,KK04,133.0
30,vKick(-2),vKick,-2,,,PP04,373.0
30,vKick(-2),vKick,-2,,,T04,196.0
31,vKick(-1),vKick,-1,,,KK04_Ma16,132.0
31,vKick(-1),vKick,-1,,,PP04_Ma16,381.0
31,vKick(-1),vKick,-1,,,M09,251.0
31,vKick(-1),vKick,-1,,,KK04,161.0
31,vKick(-1),vKick,-1,,,PP04,514.0
31,vKick(-1),vKick,-1,,,T04,226.0
32,sigma(90),sigma,90,,,KK04_Ma16,125.0
32,sigma(90),sigma,90,,,PP04_Ma16,369.0
32,sigma(90),sigma,90,,,M09,192.0
32,sigma(90),sigma,90,,,KK04,155.0
32,sigma(90),sigma,90,,,PP04,428.0
32,sigma(90),sigma,90,,,T04,210.0
33,sigma(530),sigma,530,,,KK04_Ma16,102.0
33,sigma(530),sigma,530,,,PP04_Ma16,272.0
33,sigma(530),sigma,530,,,M09,173.0
33,sigma(530),sigma,530,,,KK04,133.0
33,sigma(530),sigma,530,,,PP04,415.0
33,sigma(530),sigma,530,,,T04,193.0
34,vBH(2),vBH,2,,,KK04_Ma16,80.9
34,vBH(2),vBH,2,,,PP04_Ma16,193.0
34,vBH(2),vBH,2,,,M09,138.0
34,vBH(2),vBH,2,,,KK04,103.0
34,vBH(2),vBH,2,,,PP04,266.0
34,vBH(2),vBH,2,,,T04,144.0
35,PISN(-3),PISN,-3,,,KK04_Ma16,106.0
35,PISN(-3),PISN,-3,,,PP04_Ma16,293.0
35,PISN(-3),PISN,-3,,,M09,187.0
35,PISN(-3),PISN,-3,,,KK04,135.0
35,PISN(-3),PISN,-3,,,PP04,377.0
35,PISN(-3),PISN,-3,,,T04,191.0
36,PISN(-1),PISN,-1,,,KK04_Ma16,102.0
36,PISN(-1),PISN,-1,,,PP04_Ma16,302.0
36,PISN(-1),PISN,-1,,,M09,188.0
36,PISN(-1),PISN,-1,,,KK04,132.0
36,PISN(-1),PISN,-1,,,PP04,358.0
36,PISN(-1),PISN,-1,,,T04,198.0
37,PISN(0),PISN,0,,,KK04_Ma16,98.0
37,PISN(0),PISN,0,,,PP04_Ma16,316.0
37,PISN(0),PISN,0,,,M09,189.0
37,PISN(0),PISN,0,,,KK04,138.0
37,PISN(0),PISN,0,,,PP04,400.0
37,PISN(0),PISN,0,,,T04,201.0
38,MNS-BH(2),MNS-BH,2,,,KK04_Ma16,125.0
38,MNS-BH(2),MNS-BH,2,,,PP04_Ma16,382.0
38,MNS-BH(2),MNS-BH,2,,,M09,208.0
38,MNS-BH(2),MNS-BH,2,,,KK04,156.0
38,MNS-BH(2),MNS-BH,2,,,PP04,438.0
38,MNS-BH(2),MNS-BH,2,,,T04,222.0
39,TideST(0),TideST,0,,,KK04_Ma16,102.0
39,TideST(0),TideST,0,,,PP04_Ma16,315.0
39,TideST(0),TideST,0,,,M09,203.0
39,TideST(0),TideST,0,,,KK04,147.0
39,TideST(0),TideST,0,,,PP04,424.0
39,TideST(0),TideST,0,,,T04,196.0
